Time,ticker,Cash,Market Value,Ticker Quantity,Transacted Quantity,Transacted Cash,vwap,Prediction,Probability
2023-07-03 11:26:00,2,99803.27320000001,99964.27319999968,1288,1288,-161.0,0.125,2,0.72
2023-07-13 12:03:00,2,99992.6092,99992.60919999966,0,1288,189.33599999999998,0.147,0,0.43
2023-07-25 15:37:00,2,99667.8154,99992.60919999966,2214,2214,-324.7938,0.1467,2,0.57
2023-08-04 15:39:00,2,99998.587,99998.58699999971,0,2214,330.77160000000003,0.1494,2,0.51
2023-08-04 15:39:00,2,99738.631,99998.58699999971,1740,1740,-259.956,0.1494,2,0.51
2023-08-14 15:45:00,2,99964.309,99964.3089999998,0,1740,225.67800000000003,0.1297,2,0.73
2023-08-14 15:45:00,2,99640.059,99964.3089999998,2500,2500,-324.25,0.1297,2,0.73
2023-08-24 15:58:00,2,99943.059,99943.0589999998,0,2500,303.0,0.1212,2,0.34
2023-08-30 13:16:00,2,99842.609,99943.0589999998,820,820,-100.45,0.1225,2,0.51
2023-09-11 12:22:00,2,99964.05099999999,99964.0509999998,0,820,121.44200000000001,0.1481,0,0.37
2023-09-11 13:30:00,2,99445.92899999999,99964.0509999998,4282,4282,-518.122,0.121,2,0.72
2023-09-21 13:30:00,2,99991.02759999999,99991.02759999981,0,4282,545.0986,0.1273,2,0.76
2023-09-21 13:30:00,2,99586.34089999998,99991.02759999981,3179,3179,-404.6867,0.1273,2,0.76
2023-10-02 08:18:00,2,100060.01189999998,100060.01189999988,0,3179,473.671,0.149,0,0.42
2023-10-02 15:00:00,2,100046.29189999998,100060.01189999988,100,100,-13.719999999999999,0.1372,2,0.5
2023-10-12 15:09:00,2,100059.39189999999,100059.39189999989,0,100,13.100000000000001,0.131,2,0.61
2023-10-12 15:09:00,2,99980.79189999998,100059.39189999989,600,600,-78.60000000000001,0.131,2,0.61
2023-10-23 11:37:00,2,100065.27189999998,100065.27189999996,0,600,84.48,0.1408,2,0.53
2023-10-23 11:37:00,2,100046.96789999997,100065.27189999996,130,130,-18.304000000000002,0.1408,2,0.53
2023-11-02 12:00:00,2,100064.51789999998,100064.51790000004,0,130,17.55,0.135,2,0.74
2023-11-02 12:00:00,2,99794.38289999998,100064.51790000004,2001,2001,-270.135,0.135,2,0.74
2023-11-13 14:17:00,2,100066.71899999998,100066.71899999995,0,2001,272.3361,0.1361,0,0.54
