Date,RoR
2023-09-01,0.02148760330578514
2023-09-05,0.003236245954692629
2023-09-06,-0.0185483870967742
2023-09-07,0.011503697617091246
2023-09-08,-0.025182778229082103
2023-09-11,0.036666666666666625
2023-09-12,-0.02733118971061088
2023-09-13,0.01735537190082659
2023-09-14,0.08692120227457356
2023-09-15,0.008221225710014934
2023-09-18,-0.050407709414381
2023-09-19,0.0
2023-09-20,-0.016393442622950727
2023-09-21,0.07936507936507953
2023-09-22,-0.006617647058823617
2023-09-25,-0.011102886750555152
2023-09-26,-0.034431137724550864
2023-09-27,0.007751937984496138
2023-09-28,0.05153846153846131
2023-09-29,0.045354791514264914
2023-10-02,-0.05528341497550726
2023-10-03,0.0
2023-10-04,0.016296296296296253
2023-10-05,-0.0451895043731777
2023-10-06,0.012213740458015154
