Date, Penny ML ,Equal Weighted Universe,Russell Micro Cap Growth,Russell 2000
"Sep 16, '23",191144,53766,99378,106648
"Sep 17, '23",191144,53766,99378,106648
"Sep 18, '23",191144,51056,98332,105916
"Sep 19, '23",190275,51056,97846,105470
"Sep 20, '23",190115,50219,96285,104524
"Sep 21, '23",193205,54205,95025,102894
"Sep 22, '23",191767,53846,94958,102589
"Sep 23, '23",190964,53846,94958,102589
"Sep 24, '23",190964,53846,94958,102589
"Sep 25, '23",190964,53248,94821,103037
"Sep 26, '23",192177,51415,94268,101731
"Sep 27, '23",192132,51813,95020,102733
"Sep 28, '23",197684,54484,95527,103680
"Sep 29, '23",198161,56955,95264,103155
"Sep 30, '23",201585,56955,95264,103155
"Oct 1, '23",201585,56955,95264,103155
"Oct 2, '23",201585,53806,93734,101528
"Oct 3, '23",201787,53806,92008,99818
"Oct 4, '23",199744,54683,92144,99927
"Oct 5, '23",202507,52212,92921,100078
"Oct 6, '23",202232,52850,93716,100893
"Oct 7, '23",205823,52850,93716,100893
"Oct 8, '23",205823,52850,93716,100893
"Oct 9, '23",205823,51853,93244,101496
"Oct 10, '23",201742,51813,94061,102650
"Oct 11, '23",208096,55002,92852,102500
"Oct 12, '23",205795,52053,90263,100252
"Oct 13, '23",203694,51853,89399,99414
"Oct 14, '23",203448,51853,89399,99414
"Oct 15, '23",203448,51853,89399,99414
"Oct 16, '23",203448,52292,90836,100996
"Oct 17, '23",208900,54803,91895,102094
"Oct 18, '23",213570,55799,89579,99943
"Oct 19, '23",211501,53288,88224,98439
"Oct 20, '23",206316,59426,87432,97176
"Oct 21, '23",205414,59426,87432,97176
"Oct 22, '23",205414,59426,87432,97176
"Oct 23, '23",205414,55799,86439,96315
"Oct 24, '23",206031,55799,87777,97104
"Oct 25, '23",209943,53049,86140,95483
"Oct 26, '23",209752,56158,86106,95807
"Oct 27, '23",207750,58151,85198,94648
"Oct 28, '23",209145,58151,85198,94648
"Oct 29, '23",209145,58151,85198,94648
"Oct 30, '23",209145,55839,86049,95252
"Oct 31, '23",211071,53846,87233,96120
"Nov 1, '23",216122,54524,87196,96553
"Nov 2, '23",217597,53806,88766,99135
"Nov 3, '23",231154,53806,91571,101831
"Nov 4, '23",239328,53806,91571,101831
